,id,name,review_count,rating,price_rank
17,HeVQQ68aZGNkVJC-j3UGKw,Five Points Tattoo,26,4.0,$$
18,VGBbbA7Jn_9rStVzChl8TQ,Ink House Tattoos,4,5.0,$$
19,svXSA4MqkkYhzdYTLiWqbw,Official Flacko Tattoos,4,5.0,
20,FHRm8D5opwxy4Iqcr9lMSQ,No Idols Tattoo,10,5.0,$$
21,md9xmoVJjTlAluN7ne-nOg,Our Lady Of Ink Tattoo,6,4.5,$$
22,oABRelHPROsChDI0hsJ9nA,Image Tattoos,8,4.5,
23,J1RPrnmY2-_ori57nx8GbA,Hi Life,10,1.5,$$$
24,sSDQ3wwbkChBJ9khh7T4Iw,Encrypted Ink Tattoo and Piercing Studio,3,5.0,
25,5NozM00bG2f6OL1b3RlMNw,Tattoo Garage Tattoo and Body Piercing,24,5.0,$$
26,T9hU6v2s1WVFO1lEAWfeWg,Tattoo Mayhem,6,4.0,$$
27,G_Ua9LIqQB78TaW5st4nWA,Faded Needles,5,5.0,$$
28,WN1Tg2p99_NMy7G1TfWgFA,The Studio Phantasmagoria,1,5.0,
29,PGoJFuiZr0HbDDC-Cifhgg,Jinx Proof Tattoo & Body Piercing,51,4.5,$$
30,QXqASQ7TLBn78MRTezxYEw,Leathernecks Tattoo,39,4.5,$$
31,-3j4DDTgQitnJbp0LfI9-A,Devil’s Ink Tattoos,1,5.0,
32,ZojIc6ixQrlavca1TOICHg,Area 6 Tattoo Studio,1,5.0,
33,xBDrWzaaBtYBAqOjxXMbZw,jackie tattoo,3,2.5,
34,HUkSdfYvA1zf5gWmahyqsg,Hustlers Parlour,9,5.0,$$
35,y_lYp_0dAGD9V63UdHGk_A,Aztec Ink,29,4.5,$$
36,494fqJdrIe3pW-jBY9fgJg,7 Souls Tattoo,10,4.0,$$
37,Nvikg8NTfmmayuC8qWuVZA,Handsome Devil Tattoo Company,16,4.5,$$$
38,nPFxeoOeR8ZN5nBcBzM3bQ,Full Moon Tattoo,4,5.0,$$
39,PqmMNup9N0LBVtfUqyj9yw,Unique Tattoos & Body Piercing,1,5.0,
40,-EfSqk5ZiyQSCFffnAoXCw,B-52 Tattoo,5,5.0,
41,ABgvtf1h2id6Cwm_sJpieg,Clash City Tattoo,12,4.5,$$
42,jlUe1DnU24kjAvcKO2jiiQ,223 Tat-2,2,5.0,
43,H_fO6zVUWdx5cUNtFBXb1w,Dragonfly 2,12,3.5,$$
44,3dFogJUtKWavuoLx9Ii4rQ,Inklightened,19,5.0,$$
45,vSJsIxAge26PJRBw1rdFBw,Silk City Tattoo,24,4.5,$$
46,ESTqw7IIJk-vsEBKNf-UYQ,Itzocan Tattoos,10,4.5,$$
47,bFp8incV0NGmOp8Kdli3bg,Blood Sweat & Tattoos,11,4.5,
48,nnFXR5pKegUNfsJYLI9kOQ,Nobu Tattoo,1,5.0,
49,Md6_ITpIO9oOd3R9GPW-3g,Wyld Chyld Tattoo,50,4.0,$$
0,rDhmIFeDf7WZQBYl4GC0lw,Skin Deep Tattoo Uniondale,20,3.5,$$
1,9riMz3T27LKEA4BSiD7uWg,421 Ink,1,5.0,
2,2ipABi5yoaABdHhAh0onyw,Denise De La Cerda Tattoo,4,5.0,$$
3,_2_1-oeiA5E2Xx30pwHafg,Clockwork Tattoo,5,5.0,$$
4,pX_t9G-yRcTt1SgG33jnew,Ink Bound Tattoo Studio,4,5.0,
5,tSMR8uFoAbL4UvLHruUfAA,Infamous Body Ink,2,3.0,
6,mzZw1tfBaqT4vHtED8g2Ew,Olga Lucia Permanent Cosmetics,5,5.0,
7,xXqfv_Epb_nZPFVdSbSocg,6 Skulls Tattoo,27,4.5,$$
8,1BZtv7Z-5mDi__PJ29jKeQ,Electric Shock Tattoo,4,5.0,$$
9,dAIWV_mahhnePav8PUHGDg,Inkline Studio,14,4.0,$$$$
10,XhrjDWkeSYRFonrFRRPGoA,Addiction NYC,182,3.5,$$
11,EAiI1j3MT7A4s6yS_BQzSw,Hole In the Sky Tattoos,37,4.5,$$
12,MvX6O73G0h5if-s0iAnYZA,Mobile Ink Tattoos,2,5.0,$$
13,PiMA4kdoZtvE58ZnxQ8PzA,Kane Ink Tattoos,3,5.0,$$
14,yRu10bf16Z99q8rPXQN0kQ,Brass Knuckles Ink,2,5.0,$$
15,gzuxjtv6JHxe78ZRMhnJ6A,The Heights Ink & More,3,5.0,
16,yw2GF1bOZ4FwiLLFCekeFw,Lone Wolf Tattoos,16,4.5,$$
17,QhTP5exjo-5egTat7zo3Tw,Inborn Tattoo & Piercing,46,4.5,$$
18,vtMzSOBhtvSPa5pZyYIcZw,Black Horse Tattoos,13,4.5,$$
19,UZ9RUs2--PEOBIxh3kjoNA,Subversive Tattoo Parlor,1,5.0,
20,evDKuR0RpoCybQEJQEGQhA,House Of Ink,13,3.5,$$
21,DYGDAtm-bVFRzXI88KYcJw,Tattoo Society Studio,1,5.0,
22,PjI6XH6DKNzAJRM7PdoAdg,Bayonne Tattoo Company,6,4.5,$$
23,5pt5ynvAZysQelRmPbWNAQ,Jerzey Ink Tattoo Parlor,16,4.5,$$
24,yMeCUdXnwniRZpFacgMYjw,Drip Uptown,2,5.0,
25,b-E6rvpbK4qOMPLKI3PhtQ,Tattoos By Lexy,1,5.0,$$
26,VDyvUscmDQYY7qlu1MhgzQ,Skin Deep Tattoo,11,3.5,$$
27,inDnI6USRzD3y6qJ04KKHg,Village Pop NYC Tattoo,100,3.0,$$
28,6rfDFMCUatWQiruIiG75_g,Designs by Michael Angelo,12,5.0,$$
29,TeXInl5UM3DVszDMKQ96kw,Powerhouse Tattoo & Body Piercing,36,4.0,$$
30,OoEYOCJYI5h0yRapmVoN2g,Royal Ink Gallery,1,5.0,
31,L4orNxMcGwtPZTjDcIcPgw,NY Empire State Tattoo Expo,1,4.0,
32,0lHLjL0iCCLcDqP9X5Wjiw,Bound For Glory Tattoo,46,4.5,$$
33,5a7YUXlKexNuOaKf9i9tCw,Torres Tattoo Parlor,11,4.0,$$
34,HRe2ymehK_rke4XRiG4jHw,Holey Moley Tattoos,5,4.0,$$
35,WoKzjlyG-a4dJXqwaGi_3g,Tori's Place,48,5.0,$$
36,kzI6nhwH_46c7SwWTIk97A,El Underdog Tattoo Parlor,5,5.0,
37,510Yw3yD9wPQMcBmJmVNOg,Pyramid Ink Tattoo,2,5.0,$$
38,zlqAu1Y8HMNMHf2NxmX9EQ,NYC Tattoo Convention,2,4.5,
39,qwVyC49SscM2iOLZOTXV5A,Suite206ix,7,3.5,
40,bsONKnTYOvljAOEbp6nbCQ,"Ahimsa Piercing Studio, Fine Jewelry & Medical Aesthetics",81,5.0,$$
41,R3ft-5OTbqByYOZmIQKIbw,Damm Nice Tattoo and Body Art,1,5.0,
42,0Da6GIJgEfL0EGB3nhCqKw,Vinny's Tattoo & Body Piercing,10,4.0,$$
43,bEwRSlKsIsJXBtPPCtD1zg,Lucky's Tattoo Parlor,11,3.5,$$
44,1us0xqB2p6RQi9oky9QWTQ,Kastattoo,1,5.0,$$
45,j1jJWV9B0Uyo4CK734B_6Q,Hard Knox Tattoo Studio,8,4.5,$$
46,fl-X5qBM9I1tSw7OA0wvLQ,pirate love gypsy tattoo shop,1,5.0,
47,tVr1SUp0oWmmehqXyw_skA,Permanent Beauty by Andrea,11,5.0,$$
48,kNWxlnXaAVAGfLNiPWLMvw,Milk and Honey Tattoo Parlour,11,4.5,
49,bdLKv9De9W1bKbOvcipscg,Richmond Tattoo NYC,4,5.0,
0,NX3uIZQ770fCOcD4h93xLQ,Love Machine,2,5.0,
1,g8XDBywiNuYnEIYu1j1i_w,Lupitas Tattoos,9,3.0,$$
2,LrJHCWjdEZono5840-Iiug,Three Kings Tattoo - Long Island,7,4.5,
3,g0JOEzdRjoxkBhIBSRqZSA,Damm Nice Tattoos and Body Art,9,4.5,$$$
4,8jf_XJ2bfV8g_ohhNZZ1qA,Addicted To Ink,48,4.0,$$
5,p12dS2OSxGWw3Bvl89UK2Q,Bardadim Tattoo,4,5.0,
6,eSdo_vebiuEyYz8vtXkw_g,The Ink Lab Tattoo,5,2.0,$$$
7,YQytpyLKFGWYAQUlYuaS4g,Sons of Ink - Tattoo,17,1.5,
8,Rm_aZM9mjJn47Ha2Qf3Jkg,Dude's Tattoos * Bronx,3,5.0,$$
9,QXO7gOOBH_1QTc5CxhMJ_w,TattD7oose Ink,1,5.0,
10,yQOIKH3YUTBBHI8mmzbvig,Big Joe & Sons Tattooing,22,4.0,$$
